Variable,Description,RXCUI,ATC,VA,VA_Drug
RXNORM:1903,edetate calcium disodium,1903,,,
RXNORM:190353,daclizumab,190353,Interleukin inhibitors,,
RXNORM:190376,linezolid,190376,Other antibacterials,"ANTI-INFECTIVES,OTHER",linezolid 20 MG/ML Oral Suspension [Zyvox]
RXNORM:19044,benzyl benzoate,19044,"Other ectoparasiticides, incl. scabicides",,
RXNORM:190521,abacavir,190521,Nucleoside and nucleotide reverse transcriptase inhibitors,ANTIVIRALS,abacavir 600 MG / lamivudine 300 MG Oral Tablet [Epzicom]
RXNORM:190548,tipranavir,190548,Protease inhibitors,ANTIVIRALS,tipranavir 250 MG Oral Capsule [Aptivus]
RXNORM:19079,benzylpenicilloyl polylysine,19079,,,
RXNORM:1908,calcium gluconate,1908,Calcium|Other dermatologicals,CALCIUM,calcium gluconate 975 MG Oral Tablet
RXNORM:1909,calcium glycerophosphate,1909,,,
RXNORM:19143,beta carotene,19143,"Protectives against UV-radiation for systemic use|Vitamin A, plain","DERMATOLOGICALS,SYSTEMIC,OTHER|VITAMIN A",beta carotene 25000 UNT Oral Capsule
RXNORM:1918219,valbenazine,1918219,Other nervous system drugs,"CNS MEDICATIONS,OTHER",{7 (valbenazine 40 MG Oral Capsule) / 21 (valbenazine 80 MG Oral Capsule) } Pack
RXNORM:1918231,niraparib,1918231,Other antineoplastic agents,"ANTINEOPLASTIC,OTHER",niraparib 100 MG Oral Capsule [Zejula]
RXNORM:191831,infliximab,191831,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNE SUPPRESSANTS,infliximab 100 MG Injection
RXNORM:1919083,midostaurin,1919083,Protein kinase inhibitors,"ANTINEOPLASTIC,OTHER",midostaurin 25 MG Oral Capsule [Rydapt]
RXNORM:1919503,durvalumab,1919503,Monoclonal antibodies,"ANTINEOPLASTIC,OTHER",10 ML durvalumab 50 MG/ML Injection [Imfinzi]
RXNORM:1921069,abaloparatide,1921069,,PARATHYROID,1.56 ML abaloparatide 2 MG/ML Pen Injector [Tymlos]
RXNORM:1921217,brigatinib,1921217,Protein kinase inhibitors,"ANTINEOPLASTIC,OTHER",{23 (brigatinib 180 MG Oral Tablet) / 7 (brigatinib 90 MG Oral Tablet) } Pack
RXNORM:1921877,edaravone,1921877,Other nervous system drugs,"CNS MEDICATIONS,OTHER",100 ML edaravone 0.3 MG/ML Injection [Radicava]
RXNORM:1922448,safinamide,1922448,Monoamine oxidase B inhibitors,ANTIPARKINSON AGENTS,safinamide 100 MG Oral Tablet [Xadago]
RXNORM:1923319,sarilumab,1923319,Interleukin inhibitors,"ANTIRHEUMATICS,OTHER",1.14 ML sarilumab 175 MG/ML Auto-Injector [Kevzara]
RXNORM:19257,bethanechol,19257,Choline esters,PARASYMPATHOMIMETICS (CHOLINERGICS),bethanechol chloride 50 MG Oral Tablet [Urecholine]
RXNORM:1927663,delafloxacin,1927663,Fluoroquinolones,QUINOLONES,delafloxacin 450 MG Oral Tablet [Baxdela]
RXNORM:1927884,rituximab/hyaluronidase,1927884,,"ANTINEOPLASTIC,OTHER","13.4 ML hyaluronidase, human recombinant 2000 UNT/ML / rituximab 120 MG/ML Injection [Rituxan Hycela]"
RXNORM:1928588,guselkumab,1928588,Interleukin inhibitors,IMMUNE SUPPRESSANTS,1 ML guselkumab 100 MG/ML Auto-Injector [Tremfya]
RXNORM:193,acetylcarnitine,193,Other psychostimulants and nootropics,"THERAPEUTIC NUTRIENTS/MINERALS/ELECTROLYES,OTHER",acetylcarnitine 500 MG Oral Capsule
RXNORM:1939328,sofosbuvir/velpatasvir/voxilaprevir,1939328,Antivirals for treatment of HCV infections,ANTIVIRALS,sofosbuvir 400 MG / velpatasvir 100 MG / voxilaprevir 100 MG Oral Tablet [Vosevi]
RXNORM:194000,capecitabine,194000,Pyrimidine analogues,"ANTINEOPLASTICS,ANTIMETABOLITES",capecitabine 500 MG Oral Tablet [Xeloda]
RXNORM:1940332,enasidenib,1940332,Other antineoplastic agents,"ANTINEOPLASTIC,OTHER",enasidenib 50 MG Oral Tablet [Idhifa]
RXNORM:1940643,neratinib,1940643,Protein kinase inhibitors,"ANTINEOPLASTIC,OTHER",neratinib 40 MG Oral Tablet [Nerlynx]
RXNORM:1940702,glecaprevir/pibrentasvir,1940702,Antivirals for treatment of HCV infections,ANTIVIRALS,glecaprevir 100 MG / pibrentasvir 40 MG Oral Tablet [Mavyret]
RXNORM:194279,palivizumab,194279,Specific immunoglobulins,ANTIVIRALS,0.5 ML palivizumab 100 MG/ML Injection [Synagis]
RXNORM:1942950,inotuzumab ozogamicin,1942950,Monoclonal antibodies,"ANTINEOPLASTIC,OTHER",inotuzumab ozogamicin 0.9 MG Injection [Besponsa]
RXNORM:194337,vorinostat,194337,Other antineoplastic agents,"ANTINEOPLASTIC,OTHER",vorinostat 100 MG Oral Capsule [Zolinza]
RXNORM:1945038,fluticasone/umeclidinium/vilanterol,1945038,,"ANTIASTHMA,OTHER",30 ACTUAT fluticasone furoate 0.2 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler [Trelegy]
RXNORM:1945077,copanlisib,1945077,Other antineoplastic agents,"ANTINEOPLASTIC,OTHER",copanlisib 60 MG Injection [Aliqopa]
RXNORM:1946825,abemaciclib,1946825,Protein kinase inhibitors,"ANTINEOPLASTIC,OTHER",abemaciclib 200 MG Oral Tablet [Verzenio]
RXNORM:19475,bismuth subcarbonate,19475,,,
RXNORM:19476,bismuth subgallate,19476,,,
RXNORM:19478,bismuth subsalicylate,19478,,ANTIDIARRHEAL AGENTS|H. PYLORI AGENTS,{112 (bismuth subsalicylate 262 MG Chewable Tablet) / 56 (metronidazole 250 MG Oral Tablet) / 56 (tetracycline hydrochloride 500 MG Oral Capsule) } Pack [Helidac Theapy]
RXNORM:19484,bisoprolol,19484,"Beta blocking agents, selective",ANTIHYPERTENSIVE COMBINATIONS|BETA BLOCKERS/RELATED,bisoprolol fumarate 7.5 MG Oral Tablet
RXNORM:194881,brinzolamide,194881,Carbonic anhydrase inhibitors,"ANTIGLAUCOMA COMBINATIONS,TOPICAL OPHTHALMIC|ANTIGLAUCOMA,OTHER",brinzolamide 10 MG/ML Ophthalmic Suspension
RXNORM:19499,bitolterol,19499,Selective beta-2-adrenoreceptor agonists,,
RXNORM:195085,efavirenz,195085,Non-nucleoside reverse transcriptase inhibitors,ANTIVIRALS,efavirenz 600 MG / lamivudine 300 MG / tenofovir disoproxil fumarate 300 MG Oral Tablet
RXNORM:1952,camphor,1952,,"RESPIRATORY AGENTS,OTHER|DERMATOLOGICALS,TOPICAL OTHER|ANALGESICS,TOPICAL",camphor 0.002 MG/MG / menthol 0.035 MG/MG Topical Gel [Freeze It]
RXNORM:19551,pemirolast,19551,,"ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC",pemirolast potassium 1 MG/ML Ophthalmic Solution
RXNORM:19552,cefprozil,19552,Second-generation cephalosporins,CEPHALOSPORIN 2ND GENERATION,cefprozil 50 MG/ML Oral Suspension
RXNORM:196102,basiliximab,196102,Interleukin inhibitors,IMMUNE SUPPRESSANTS,basiliximab 20 MG Injection [Simulect]
RXNORM:196319,palifermin,196319,Detoxifying agents for antineoplastic treatment,"HORMONES/SYNTHETICS/MODIFIERS,OTHER",palifermin 6.25 MG Injection [Kepivance]
RXNORM:19666,nesiritide,19666,Other vasodilators used in cardiac diseases,,
RXNORM:19685,bretylium,19685,,ANTIARRHYTHMICS,10 ML bretylium tosylate 50 MG/ML Injection
RXNORM:197,acetylcysteine,197,Antidotes|Mucolytics|Other ophthalmologicals,"HERBS/ALTERNATIVE THERAPIES|MUCOLYTICS|ANTIDOTES/DETERRENTS,OTHER",acetylcysteine 500 MG Oral Capsule
RXNORM:19711,amoxicillin/clavulanate,19711,,"PENICILLINS,AMINO DERIVATIVES",amoxicillin 50 MG/ML / clavulanate 12.5 MG/ML Oral Suspension [Clavamox]
RXNORM:19737,bromfenac,19737,"Antiinflammatory agents, non-steroids","ANTI-INFLAMMATORIES,TOPICAL OPHTHALMIC",bromfenac 0.9 MG/ML Ophthalmic Solution
RXNORM:19831,budesonide,19831,"Corticosteroids|Corticosteroids acting locally|Glucocorticoids|Corticosteroids, potent (group III)","ANTI-INFLAMMATORIES,NASAL|GLUCOCORTICOIDS|ANTIASTHMA,OTHER|ANTI-INFLAMMATORIES,INHALATION",60 ACTUAT budesonide 0.09 MG/ACTUAT Dry Powder Inhaler [Pulmicort]
RXNORM:1986808,acalabrutinib,1986808,Protein kinase inhibitors,"ANTINEOPLASTIC,OTHER",acalabrutinib 100 MG Oral Capsule [Calquence]
RXNORM:19884,butoconazole,19884,Imidazole derivatives,"ANTI-INFECTIVES,VAGINAL",butoconazole nitrate 20 MG/ML Vaginal Cream [Gynazole-1]
RXNORM:1988648,letermovir,1988648,Other antivirals,ANTIVIRALS,letermovir 480 MG Oral Tablet [Prevymis]
RXNORM:1989100,benralizumab,1989100,Other systemic drugs for obstructive airway diseases,"ANTIASTHMA,OTHER",1 ML benralizumab 30 MG/ML Auto-Injector [Fasenra]
RXNORM:1989499,dolutegravir/rilpivirine,1989499,"Antivirals for treatment of HIV infections, combinations",ANTIVIRALS,dolutegravir 50 MG / rilpivirine 25 MG Oral Tablet [Juluca]
RXNORM:1989794,emicizumab,1989794,Other systemic hemostatics,ANTIHEMORRHAGICS,1 ML emicizumab-kxwh 150 MG/ML Injection [Hemlibra]
RXNORM:1991302,semaglutide,1991302,Glucagon-like peptide-1 (GLP-1) analogues,"HYPOGLYCEMIC AGENTS,OTHER",3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]
RXNORM:1992,capsaicin,1992,Capsaicin and similar agents|Other local anesthetics,"ANALGESICS,TOPICAL",capsaicin 0.5 MG/ML / menthol 100 MG/ML / methyl salicylate 200 MG/ML Topical Lotion
RXNORM:1992672,ertugliflozin,1992672,Sodium-glucose co-transporter 2 (SGLT2) inhibitors,"ORAL HYPOGLYCEMIC AGENTS,ORAL",ertugliflozin 5 MG / sitagliptin 100 MG Oral Tablet [Steglujan]
RXNORM:1998,captopril,1998,"ACE inhibitors, plain",ANTIHYPERTENSIVE COMBINATIONS|ACE INHIBITORS,captopril 25 MG Oral Tablet
RXNORM:1999,carbachol,1999,Parasympathomimetics|Choline esters,"MIOTICS,TOPICAL OPHTHALMIC",1.5 ML carbachol 0.1 MG/ML Injection [Miostat]
RXNORM:1999574,apalutamide,1999574,Anti-androgens,"ANTINEOPLASTIC,OTHER",apalutamide 60 MG Oral Tablet [Erleada]
RXNORM:20012,cadexomer iodine,20012,Other cicatrizants,"ANTIBACTERIAL,TOPICAL",cadexomer iodine 0.009 MG/MG Topical Gel [Iodosorb]
RXNORM:20063,calcium polycarbophil,20063,Bulk-forming laxatives,"GASTRIC MEDICATIONS,OTHER|BULK-FORMING LAXATIVES",calcium polycarbophil 625 MG Oral Tablet
RXNORM:2015,carbenicillin,2015,Penicillins with extended spectrum,,
RXNORM:2019,carbidopa,2019,,ANTIPARKINSON AGENTS,carbidopa 50 MG / levodopa 200 MG Extended Release Oral Tablet [Sinemet]
RXNORM:20220,carbinoxamine,20220,Aminoalkyl ethers,"ANTIHISTAMINES,ETHANOLAMINE",carbinoxamine maleate 6 MG Oral Tablet [Ryvent]
RXNORM:20259,carboprost/tromethamine,20259,,,
RXNORM:203146,goserelin acetate,203146,,,
RXNORM:203186,mesoridazine besylate,203186,,,
RXNORM:203191,metoprolol tartrate,203191,,ANTIHYPERTENSIVE COMBINATIONS|BETA BLOCKERS/RELATED,metoprolol tartrate 25 MG Oral Tablet
RXNORM:203219,evening primrose oil,203219,,HERBS/ALTERNATIVE THERAPIES,evening primrose oil Pill
RXNORM:203223,digoxin immune fab,203223,,"ANTIDOTES/DETERRENTS,OTHER",ovine digoxin immune fab 40 MG Injection [DigiFab]
RXNORM:20352,carvedilol,20352,Alpha and beta blocking agents,BETA BLOCKERS/RELATED,24 HR carvedilol phosphate 80 MG Extended Release Oral Capsule [Coreg]
RXNORM:2043283,ibalizumab,2043283,Other antivirals,ANTIVIRALS,1.33 ML ibalizumab-uiyk 150 MG/ML Injection [Trogarzo]
RXNORM:2043855,burosumab,2043855,Other drugs affecting bone structure and mineralization,"IMMUNOLOGICAL AGENTS,OTHER",1 ML burosumab-twza 30 MG/ML Injection [Crysvita]
RXNORM:2045371,cannabidiol,2045371,Other antiepileptics,ANTICONVULSANTS,cannabidiol 100 MG/ML Oral Solution [Epidiolex]
RXNORM:20481,cefepime,20481,Fourth-generation cephalosporins,CEPHALOSPORIN 4TH GENERATION,cefepime 500 MG Injection
RXNORM:20492,ceftibuten,20492,Third-generation cephalosporins,CEPHALOSPORIN 3RD GENERATION,ceftibuten 36 MG/ML Oral Suspension [Cedax]
RXNORM:2053436,tildrakizumab,2053436,Interleukin inhibitors,"IMMUNOLOGICAL AGENTS,OTHER",1 ML tildrakizumab-asmn 100 MG/ML Prefilled Syringe [Ilumya]
RXNORM:20610,cetirizine,20610,Piperazine derivatives,"ANTIHISTAMINE/DECONGESTANT|ANTIHISTAMINES,PIPERAZINE",1 ML cetirizine hydrochloride 10 MG/ML Injection [Quzyttir]
RXNORM:20615,cetyl alcohol,20615,,,
RXNORM:20791,chlorhexidine gluconate,20791,,"ANTIBACTERIAL,TOPICAL|MOUTHWASHES",chlorhexidine gluconate 20 MG/ML / isopropyl alcohol 0.7 ML/ML Topical Solution [ChloraPrep]
RXNORM:20814,acetylcholine chloride,20814,,"MIOTICS,TOPICAL OPHTHALMIC",acetylcholine chloride 10 MG/ML Ophthalmic Solution [Miochol]
RXNORM:20859,chloroprocaine,20859,Esters of aminobenzoic acid,"LOCAL ANESTHETICS,INJECTION",20 ML chloroprocaine hydrochloride 30 MG/ML Injection [Nesacaine]
RXNORM:21009,chromic chloride,21009,,"ELECTROLYTES/MINERALS,OTHER",10 ML chromic chloride 0.004 MG/ML Injection
RXNORM:2101,carisoprodol,2101,Carbamic acid esters,OPIOID ANALGESICS|SKELETAL MUSCLE RELAXANTS,aspirin 325 MG / carisoprodol 200 MG / codeine phosphate 16 MG Oral Tablet
RXNORM:2101717,"alum,ammonium",2101717,,,
RXNORM:2105,carmustine,2105,Nitrosoureas,"ANTINEOPLASTICS,ALKYLATING AGENTS",carmustine 7.7 MG Drug Implant
RXNORM:21090,ciclopirox,21090,Other antifungals for topical use|Other antiinfectives and antiseptics,"ANTIFUNGAL,TOPICAL",ciclopirox 80 MG/ML Topical Solution [CNL8]
RXNORM:21107,cilostazol,21107,Platelet aggregation inhibitors excl. heparin,"CARDIOVASCULAR AGENTS,OTHER",cilostazol 50 MG Oral Tablet
RXNORM:2116,carteolol,2116,"Beta blocking agents|Beta blocking agents, non-selective","BETA-BLOCKERS,TOPICAL OPHTHALMIC",carteolol hydrochloride 20 MG/ML Ophthalmic Solution
RXNORM:21183,citric acid,21183,Acid preparations,HYPEROSMOTIC LAXATIVES|IRRIGATION SOLUTIONS|CITRATES|SODIUM BICARBONATE CONTAINING ANTACIDS,citric acid 66.8 MG/ML / potassium citrate 110 MG/ML / sodium citrate 100 MG/ML Oral Solution [Cytra-3]
RXNORM:21212,clarithromycin,21212,Macrolides,ERYTHROMYCINS/MACROLIDES|H. PYLORI AGENTS,{4 (amoxicillin 500 MG Oral Capsule [Trimox]) / 2 (clarithromycin 500 MG Oral Tablet [Biaxin]) / 2 (lansoprazole 30 MG Delayed Release Oral Capsule [Prevacid]) } Pack [Prevpac]
RXNORM:21241,clobazam,21241,Benzodiazepine derivatives,ANTICONVULSANTS,clobazam 20 MG Oral Tablet
RXNORM:21250,clocortolone pivalate,21250,,,
RXNORM:2129,castor oil,2129,Contact laxatives,"STIMULANT LAXATIVES|DERMATOLOGICALS,TOPICAL OTHER",castor oil 0.788 MG/MG / Peruvian balsam 0.087 MG/MG / trypsin 0.09 UNT/MG Topical Ointment [Revina]
RXNORM:21389,cocoa butter,21389,,HEMORRHOIDAL PREPARATIONS WITHOUT STEROID|EMOLLIENTS,cocoa butter 1 MG/MG Topical Ointment
RXNORM:21392,coconut oil,21392,,,
RXNORM:21406,coenzyme q10,21406,Other cardiac preparations,HERBS/ALTERNATIVE THERAPIES,ubidecarenone 6 MG/ML Oral Solution
RXNORM:214130,acetaminophen/butalbital/caffeine,214130,,NON-OPIOID ANALGESICS,acetaminophen 300 MG / butalbital 50 MG / caffeine 40 MG Oral Capsule
RXNORM:214153,acetaminophen/dichloralphenazone/isometheptene,214153,,,
RXNORM:214156,acetaminophen/pamabrom/pyrilamine,214156,,NON-OPIOID ANALGESICS,acetaminophen 500 MG / pamabrom 25 MG / pyrilamine maleate 15 MG Oral Tablet [Pamprin Multi-Symptom]
RXNORM:214159,aspirin/butalbital/caffeine,214159,,,
RXNORM:214160,aspirin/butalbital/caffeine/codeine,214160,,OPIOID ANALGESICS,aspirin 325 MG / butalbital 50 MG / caffeine 40 MG / codeine phosphate 30 MG Oral Capsule [Fiorinal with Codeine]
RXNORM:214177,lyme disease vaccine,214177,,,
RXNORM:214178,acetaminophen/butalbital,214178,,NON-OPIOID ANALGESICS,acetaminophen 325 MG / butalbital 25 MG Oral Tablet [Allzital]
RXNORM:214179,acetaminophen/chlorpheniramine,214179,,"COLD REMEDIES,OTHER",acetaminophen 60 MG / chlorpheniramine maleate 0.667 MG Oral Tablet
RXNORM:214180,acetaminophen/dextromethorphan,214180,,NON-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,acetaminophen 32 MG/ML / dextromethorphan hydrobromide 1 MG/ML Oral Suspension
RXNORM:214181,acetaminophen/diphenhydramine,214181,,"CNS MEDICATIONS,OTHER",acetaminophen 500 MG / diphenhydramine citrate 38 MG Oral Powder
RXNORM:214182,acetaminophen/hydrocodone,214182,,OPIOID ANALGESICS,acetaminophen 556 MG / hydrocodone bitartrate 5 MG Oral Tablet
RXNORM:214183,acetaminophen/oxycodone,214183,,OPIOID ANALGESICS,acetaminophen 300 MG / oxycodone hydrochloride 7.5 MG Oral Tablet [Prolate]
RXNORM:214184,acetaminophen/pamabrom,214184,,,
RXNORM:214186,acetaminophen/phenylephrine,214186,,"COLD REMEDIES,OTHER",acetaminophen 500 MG / phenylephrine hydrochloride 5 MG Oral Tablet
RXNORM:214196,acrivastine/pseudoephedrine,214196,,ANTIHISTAMINE/DECONGESTANT,acrivastine 8 MG / pseudoephedrine hydrochloride 60 MG Oral Capsule [Semprex-D]
RXNORM:214199,albuterol/ipratropium,214199,,"ANTIASTHMA,OTHER",albuterol 0.833 MG/ML / ipratropium bromide 0.167 MG/ML Inhalation Solution [DuoNeb]
RXNORM:214212,amiloride/hydrochlorothiazide,214212,,POTASSIUM SPARING/COMBINATIONS DIURETICS,amiloride hydrochloride 2.5 MG / hydrochlorothiazide 25 MG Oral Tablet
RXNORM:214220,amitriptyline/chlordiazepoxide,214220,,,
RXNORM:214223,amlodipine/benazepril,214223,,ANTIHYPERTENSIVE COMBINATIONS,amlodipine 5 MG / benazepril hydrochloride 40 MG Oral Capsule [Lotrel]
RXNORM:214247,ascorbic acid/ferrous fumarate,214247,,,
RXNORM:214249,aspirin/butalbital,214249,,,
RXNORM:214250,aspirin/caffeine,214250,,NON-OPIOID ANALGESICS,aspirin 845 MG / caffeine 65 MG Oral Powder
RXNORM:214251,aspirin/carisoprodol,214251,,SKELETAL MUSCLE RELAXANTS,aspirin 325 MG / carisoprodol 200 MG Oral Tablet
RXNORM:214254,aspirin/meprobamate,214254,,,
RXNORM:214256,aspirin/oxycodone,214256,,OPIOID ANALGESICS,aspirin 325 MG / oxycodone hydrochloride 4.84 MG Oral Tablet [Endodan Reformulated May 2009]
RXNORM:214261,atropine/difenoxin,214261,,ANTIDIARRHEAL AGENTS,atropine sulfate 0.025 MG / difenoxin hydrochloride 1 MG Oral Tablet [Motofen]
RXNORM:214262,atropine/edrophonium,214262,,PARASYMPATHOMIMETICS (CHOLINERGICS),5 ML atropine sulfate 0.14 MG/ML / edrophonium chloride 10 MG/ML Injection [Enlon-Plus]
RXNORM:214265,azatadine/pseudoephedrine,214265,,,
RXNORM:214287,benazepril/hydrochlorothiazide,214287,,ANTIHYPERTENSIVE COMBINATIONS,benazepril hydrochloride 5 MG / hydrochlorothiazide 6.25 MG Oral Tablet
RXNORM:214298,benzocaine/dextromethorphan,214298,,"ANESTHETICS,MUCOSAL",benzocaine / dextromethorphan Oral Lozenge
RXNORM:214299,benzocaine/docusate,214299,,"LAXATIVES,RECTAL",benzocaine 4 MG/ML / docusate sodium 56.6 MG/ML Enema [Docusol Plus]
RXNORM:214317,bisoprolol/hydrochlorothiazide,214317,,ANTIHYPERTENSIVE COMBINATIONS,bisoprolol fumarate 5 MG / hydrochlorothiazide 6.25 MG Oral Tablet [Ziac]
RXNORM:214323,bromodiphenhydramine/codeine,214323,,,
RXNORM:214325,brompheniramine/phenylpropanolamine,214325,,,
RXNORM:214326,brompheniramine/pseudoephedrine,214326,,ANTIHISTAMINE/DECONGESTANT,brompheniramine maleate 0.2 MG/ML / pseudoephedrine hydrochloride 3 MG/ML Oral Solution
RXNORM:214336,caffeine/ergotamine,214336,,ANTIMIGRAINE AGENTS,caffeine 100 MG / ergotamine tartrate 2 MG Rectal Suppository [Migergot]
RXNORM:214342,calcium acetate,214342,Drugs for treatment of hyperkalemia and hyperphosphatemia,"ELECTROLYTES/MINERALS,COMBINATIONS|AMINO ACIDS/PROTEINS,PARENTERAL,WITH ADDED ELECTROLYTES|CALCIUM",alanine 2.1 MG/ML / arginine 2.9 MG/ML / calcium acetate 0.003 MEQ/ML / cysteine 0.2 MG/ML / glycerin 30 MG/ML / glycine 4.2 MG/ML / histidine 0.85 MG/ML / isoleucine 2.1 MG/ML / leucine 2.7 MG/ML / lysine 3.1 MG/ML / magnesium acetate 0.008 MEQ/ML / methionine 1.6 MG/ML / phenylalanine 1.7 MG/ML / phosphoric acid 0.41 MG/ML / potassium chloride 0.02 MEQ/ML / proline 3.4 MG/ML / serine 1.8 MG/ML / sodium acetate 0.025 MEQ/ML / sodium chloride 0.014 MEQ/ML / threonine 1.2 MG/ML / tryptophan 0.46 MG/ML / valine 2 MG/ML Injectable Solution [ProcalAmine 3]
RXNORM:214346,calcium carbonate/magnesium carbonate,214346,,CALCIUM/MAGNESIUM CONTAINING ANTACIDS,calcium carbonate 250 MG / magnesium carbonate 300 MG Oral Tablet [MagneBind]
RXNORM:214347,calcium carbonate/magnesium hydroxide,214347,,CALCIUM/MAGNESIUM CONTAINING ANTACIDS,calcium carbonate 700 MG / magnesium hydroxide 300 MG Chewable Tablet [Mi-Acid Double Strength]
RXNORM:214349,calcium carbonate/sodium fluoride,214349,,"ELECTROLYTES/MINERALS,COMBINATIONS",calcium carbonate 364 MG / sodium fluoride 8.3 MG Oral Capsule [Florical]
RXNORM:214354,candesartan,214354,"Angiotensin II receptor blockers (ARBs), plain",ANTIHYPERTENSIVE COMBINATIONS|ANGIOTENSIN II INHIBITOR,candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT]
RXNORM:214357,captopril/hydrochlorothiazide,214357,,ANTIHYPERTENSIVE COMBINATIONS,captopril 50 MG / hydrochlorothiazide 25 MG Oral Tablet
RXNORM:214367,casanthranol/docusate,214367,,,
RXNORM:214390,chlorpheniramine/dextromethorphan,214390,,ANTIHISTAMINE/ANTITUSSIVE,chlorpheniramine maleate 0.2 MG/ML / dextromethorphan hydrobromide 1 MG/ML Oral Solution
RXNORM:214392,chlorpheniramine/hydrocodone,214392,,OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,12 HR chlorpheniramine polistirex 1.6 MG/ML / hydrocodone polistirex 2 MG/ML Extended Release Suspension [Tussionex]
RXNORM:214393,chlorpheniramine/phenylephrine,214393,,ANTIHISTAMINE/DECONGESTANT,chlorpheniramine maleate 0.4 MG/ML / phenylephrine hydrochloride 1 MG/ML Oral Solution
RXNORM:214395,chlorpheniramine/pseudoephedrine,214395,,ANTIHISTAMINE/DECONGESTANT,chlorpheniramine maleate 4 MG / pseudoephedrine hydrochloride 60 MG Oral Tablet
RXNORM:214427,citric acid/potassium citrate,214427,,CITRATES,citric acid 66.8 MG/ML / potassium citrate 220 MG/ML Oral Solution
RXNORM:214442,codeine/guaifenesin,214442,,OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,codeine phosphate 2 MG/ML / guaifenesin 60 MG/ML Oral Solution
RXNORM:214443,"codeine/glycerol,iodinated",214443,,,
RXNORM:214444,codeine/promethazine,214444,,OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,codeine phosphate 2 MG/ML / promethazine hydrochloride 1.25 MG/ML Oral Solution
RXNORM:214449,codeine/phenylephrine/promethazine,214449,,OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS,codeine phosphate 2 MG/ML / phenylephrine hydrochloride 1 MG/ML / promethazine hydrochloride 1.25 MG/ML Oral Solution
RXNORM:214452,colchicine/probenecid,214452,,ANTIGOUT AGENTS,colchicine 0.5 MG / probenecid 500 MG Oral Tablet
RXNORM:214470,denileukin diftitox,214470,Other antineoplastic agents,,
RXNORM:214485,dextran 1,214485,,,
RXNORM:214488,dextromethorphan/guaifenesin,214488,,NON-OPIOID-CONTAINING ANTITUSSIVES/EXPECTORANTS|DECONGESTANT/EXPECTORANT,dextromethorphan hydrobromide 2 MG/ML / guaifenesin 60 MG/ML Oral Solution
RXNORM:214491,dextromethorphan/promethazine,214491,,ANTIHISTAMINE/ANTITUSSIVE,dextromethorphan hydrobromide 3 MG/ML / promethazine hydrochloride 1.25 MG/ML Oral Solution
RXNORM:214495,dextromethorphan/guaifenesin/pseudoephedrine,214495,,DECONGESTANT/ANTITUSSIVE/EXPECTORANT,dextromethorphan hydrobromide 20 MG / guaifenesin 375 MG / pseudoephedrine hydrochloride 60 MG Oral Tablet
RXNORM:214502,diclofenac/misoprostol,214502,,"MUSCULOSKELETAL AGENTS,OTHER",diclofenac sodium 50 MG / misoprostol 0.2 MG Delayed Release Oral Tablet
RXNORM:214519,docusate/ferrous fumarate,214519,,,
RXNORM:214536,enalapril/hydrochlorothiazide,214536,,ANTIHYPERTENSIVE COMBINATIONS,enalapril maleate 20 MG / hydrochlorothiazide 12.5 MG Oral Tablet
RXNORM:214545,epinephrine/etidocaine,214545,,,
RXNORM:214551,estradiol/norethindrone,214551,,"HORMONES/SYNTHETICS/MODIFIERS,OTHER",{28 (estradiol 1 MG / norethindrone acetate 0.5 MG Oral Tablet) } Pack
RXNORM:214555,etanercept,214555,Tumor necrosis factor alpha (TNF-a) inhibitors,"ANTIRHEUMATICS,OTHER",0.5 ML etanercept 50 MG/ML Prefilled Syringe [Enbrel]
RXNORM:214557,ethinyl estradiol/ethynodiol,214557,,"CONTRACEPTIVES,SYSTEMIC",{21 (ethinyl estradiol 0.05 MG / ethynodiol diacetate 1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack
RXNORM:214558,ethinyl estradiol/levonorgestrel,214558,"Progestogens and estrogens, fixed combinations|Progestogens and estrogens, sequential preparations","CONTRACEPTIVES,SYSTEMIC",{7 (ethinyl estradiol 0.01 MG Oral Tablet) / 84 (ethinyl estradiol 0.02 MG / levonorgestrel 0.1 MG Oral Tablet) } Pack
RXNORM:214559,ethinyl estradiol/norgestimate,214559,"Progestogens and estrogens, fixed combinations|Progestogens and estrogens, sequential preparations","CONTRACEPTIVES,SYSTEMIC",{21 (ethinyl estradiol 0.035 MG / norgestimate 0.25 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack
